symbol,mean
IFF,0.9521139170517038
ILMN,1.111153207739143
INCY,1.0841558708732073
INFO,1.1814915426126291
INTC,0.862301004570954
INTU,1.2021810797090138
IP,1.1767941691541264
IPG,1.0636116455363291
IPGP,1.3139110315390434
IQV,1.1743587175390693
IR,1.2702396685699286
IRM,1.0267831830224248
ISRG,1.2920862165369782
IT,1.1004159227620824
ITW,1.1763380179481853
IVZ,1.2196835733528684
J,1.1132881771007255
JBHT,1.2490202859115358
JCI,1.2517780547422641
JKHY,1.015139899651047
JNJ,1.0257248273080868
JNPR,1.007769781918021
JPM,1.006404659457372
K,1.0149121453082872
KEY,1.0275203412114784
KEYS,1.096963270978012
KHC,1.146448502789276
KIM,0.9711180496980478
KLAC,1.2706252367278827
KMB,1.0478951149040943
KMI,0.8330438091824778
KMX,1.2306868207630128
KO,1.0138533512207253
KR,1.082498447803365
KSU,1.2338596467286023
L,0.9892873850318383
LB,1.971059761904809
LDOS,0.9468045755039334
LEG,1.2013930565209419
LEN,1.395187849562185
LH,1.170343249107709
LHX,0.9312140852916811
LIN,1.234866262504971
LKQ,1.2134489747061623
LLY,1.0418788102981043
LMT,0.9841505617694437
LNC,1.03611117417793
LNT,1.031225450030456
LOW,1.4262436837778991
LRCX,1.3335727980939884
LUMN,1.0127976961724563
LUV,1.0626225564312315
LVS,0.9824645116443067
LW,1.0120642921385758
LYB,1.1822214861956652
LYV,1.1683437827226026
MA,1.1394101338037324
MAA,0.9979212185511277
MAR,1.06645375321012
MAS,1.2757140591108764
MCD,1.116864413916705
MCHP,1.2463762400956355
MCK,1.091732917098538
MCO,1.134571229762838
MDLZ,1.0684266248347523
MDT,1.0544569858345958
MET,1.0702734740585313
MGM,1.2868442890356515
MHK,1.0914721220700276
MKC,1.1953927171790324
MKTX,1.2717608680636594
MLM,1.1463228424704104
MMC,1.0999979260764312
MMM,1.0765968262900907
MNST,1.2425491631575014
MO,0.9933901847428163
MOS,1.3700988064503614
MPC,1.0066682501219681
MPWR,1.5031788353322968
MRK,1.00882015157552
MRO,0.8581196785919862
MS,1.2184696328812028
MSCI,1.2207552149807541
MSFT,1.213845975951943
MSI,1.0386704662864181
MTB,0.9101706121259903
MTD,1.3331972887867543
MU,1.0980679281773016
MXIM,1.2753451039004133
NCLH,1.0465440623975428
NDAQ,1.1604002195899383
NEE,1.1629330120787758
NEM,1.2223143542282067
NFLX,1.271806726281595
NI,0.9123185231890033
NKE,1.2854467960225977
NLOK,1.0199263072704736
NLSN,0.9889109420088504
NOC,0.947208542439353
NOV,0.82578756764143
NOW,1.423556164110823
NRG,0.9926082019108877
NSC,1.2199806585139819
NTAP,1.042514986952767
NTRS,1.0089975193441798
NUE,1.151205757647014
NVDA,1.696963363728096
NVR,1.2259329912191959
NWL,1.1983539364772928
NWS,1.2947110806374855
NWSA,1.313861078501533
NXPI,1.2592078364989598
O,1.0003094747397387
ODFL,1.3384348944382325
OKE,0.8325415117025255
OMC,0.9140559652700405
ORCL,1.102174464046298
ORLY,1.1755420697127597
OTIS,1.2511536965435872
OXY,0.7095515861593936
PAYC,1.2736925975810243
PAYX,1.1102426876393756
PBCT,0.8960683449422169
PCAR,1.2170783605533315
PEAK,1.0071575319888626
PEG,1.0758786204919994
PENN,2.9612029518926692
PEP,1.0399778579310694
PFE,1.0546755053605121
PFG,1.1022988960539524
PG,1.1422055658110053
PGR,1.1761414501178806
PH,1.318757247394927
PHM,1.3419731591799657
PKG,1.1776332264335876
PKI,1.35792510520512
PLD,1.1370042512501186
PM,1.0074735466008204
PNC,1.0268858092669746
PNR,1.2741315727815767
PNW,0.9700351215150459
POOL,1.45129430105708
PPG,1.246753743151293
PPL,0.9829858986125515
PRGO,0.9375996178990231
PRU,1.0637749879564655
PSA,1.0702286192301547
PSX,0.8380184826795686
PVH,1.2479488849695624
PWR,1.5281270124212474
PXD,1.015423343245688
PYPL,1.5702713176542296
QCOM,1.48911715811751
QRVO,1.348579812927529
RCL,1.2770848457780821
RE,0.998423166330881
REG,0.88449845025261
REGN,1.2121390206988947
RF,1.1078738394359913
RHI,1.1279655264854225
RJF,1.0740799035714381
RL,0.9334382047872937
RMD,1.1675672381255469
ROK,1.2310886035724249
